Serial Number,Application Date,Class Index,International Priority Date,By Consent Trademark Numbers,Description,Company Name,Agent Details
TM2022015041,17 June 2022,,,,"No colour claim Boxer, clothing footwear and headgear clothing for men, women and children, formal wear, casual, blouses, T-shirt, footwear for ordinary use and for use in sport, shoes, leisure.",AL HARAMAN SDN. BHD. ;,"Jasdev Singh Gill, Jasdev Chambers Suite B-01-
06, Gateway Corporate Suites No.1, Jalan Desa Kiara, Mont 
Kiara, 50480 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 91"
TM2022017898,15 July 2022,25,,,Clothing; Gloves [clothing]; Underwear; Bras; Shoes; Hats; Socks; Ties [clothing]; Belts [clothing].,CENTURY GROW MALAYSIA SDN BHD ;,"Tee Lin Yik, Tee IP Sdn Bhd,  A-23-01, Penthouse 
Office Ekocheras Office Suites, 693, Jalan Cheras, Batu 5, 
56000 Cheras, Kuala Lumpur"
TM2025009698,28 March 2025,25,,,"Articles of clothing, footwear and headgear. FAN, CHENGLONG ; 55, Jalan 8, Taman Perindustrian Ehsan Jaya, Kepong 52100 Kuala Lumpur, MALAYSIA AGENT : Pek Kok Fui, B-2-2-3, Solaris Dutamas, No 1, Jalan Dutamas 1, 50480 Kuala Lumpur CLASS : 25 TM2025010358 3 April 2025","Articles of clothing, footwear, headgear;","Tee Lin Yik, Tee IP Sdn Bhd,  A-23-01, Penthouse 
Office Ekocheras Office Suites, 693, Jalan Cheras, Batu 5, 
56000 Cheras, Kuala Lumpur"
TM2025010358,3 April 2025,,,,,"Articles of clothing, footwear, headgear;","Tee Lin Yik, Tee IP Sdn Bhd,  A-23-01, Penthouse 
Office Ekocheras Office Suites, 693, Jalan Cheras, Batu 5, 
56000 Cheras, Kuala Lumpur"
TM2025011723,16 April 2025,,,,Clothing; Layettes [clothing]; Bathing suits; Masquerade costumes; Footwear; Caps being headwear; Hosiery; Gloves [clothing]; Scarves; Girdles. QUANZHOU SICHUANG SPORTS GOODS,"TECHNOLOGY CO., LTD. ;","Loh Yen Pheng, Intellect Worldwide Sdn Bhd, 
IPeople House, 7A Clove Hall Road, 10050 Georgetown, 
Pulau Pinang 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 92"
TM2025011720,16 April 2025,,,,"Clothing; Layettes [clothing]; Bathing suits; Masquerade costumes; Footwear; Caps being headwear; Hosiery; Gloves [clothing]; Scarves; Girdles. QUANZHOU SICHUANG SPORTS GOODS TECHNOLOGY CO., LTD. ; No. 28 Nandian Street, Wudai Village, Chendai Town, Jinjiang City, Quanzhou City, Fujian Province, 362200, CHINA AGENT : Vannesse Lee Pei Eng, Drexworld Management PLT; No.1-9-13, Block Chempaka, Taman Desaminium, Jalan Flora, 43300 Seri Kembangan, Selangor CLASS : 25 TM2025011720 16 April 2025",Articles of clothing for human beings;,"Vannesse Lee Pei Eng, Drexworld Management 
PLT; No.1-9-13, Block Chempaka, Taman Desaminium, 
Jalan Flora, 43300 Seri Kembangan, Selangor"
TM2025011724,16 April 2025,,,,Clothing; Layettes [clothing]; Bathing suits; Masquerade costumes; Footwear; Caps being headwear; Hosiery; Gloves [clothing]; Scarves; Girdles. QUANZHOU SICHUANG SPORTS GOODS,"TECHNOLOGY CO., LTD. ;","Tee Lin Yik, Tee IP Sdn Bhd,  A-23-01, Penthouse 
Office Ekocheras Office Suites, 693, Jalan Cheras, Batu 5, 
56000 Cheras, Kuala Lumpur"
TM2025011753,16 April 2025,,,,CLASS 25 Bodysuits for men; Boots for men; Clothing for men; Coats for men;,Fitted clothing for men;,"Vannesse Lee Pei Eng, Drexworld Management 
PLT; No.1-9-13, Block Chempaka, Taman Desaminium, 
Jalan Flora, 43300 Seri Kembangan, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 93"
TM2025011778,16 April 2025,,,,The trademark is limited to the colours as shown in the representation on the form of application.,Jackets being sports clothing;,"Ahmad Hafiz bin Zubir, Hafiz Zubir & Co., A-5-1, Blok A, Ostia Bangi Business Avenue, Jalan 
Ostia Utama, Taman Ostia Utama, 43650 Bandar Baru Bangi, Selangor"
TM2025013397,28 April 2025,,,,Articles of clothing; Casual clothing; Clothes for sport;,"Clothing for men, women and children;",
TM2025013419,28 April 2025,,,,Underwear; Clothing; Waterproof clothing; Layettes [clothing]; Swimsuits; Masquerade costumes; Shoes; Hats; Hosiery; Scarves; Belts [clothing]; Sleep masks; Gloves [clothing].,"WUHAN MEILILIAN HOLDINGS CO., LTD ;","Phoon Chiy Hin , c/o CH Phoon & Associates, A-3-
10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar 
South, 59200 Kuala Lumpur"
TM2025013565,29 April 2025,,,,No colour claim Shoes for adults; Shoes for children; Shoes for men; Shoes for women; Footwear for adults; Footwear for babies;,Footwear for children;,"Quality Oracle Sdn. Bhd., c/o Quality Oracle Sdn. 
Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan PJU 
7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor"
TM2025014171,2 May 2025,,,,Sweaters; Pullovers; Shirts; Clothing; Knitwear [clothing]; Coats; Tee-shirts; Boxer shorts; Pants; Leggings [trousers]; Overalls; Nightgowns; Vests; Pyjamas; Swimming trunks; Raincoats; Stockings; Socks.,"SHENZHEN YAFEI ELECTRONIC COMMERCE CO., LTD.;","Mohana Murali A/L Kodivel, Adastra Intellectual 
Property Sdn Bhd, A-39-10, Penthouse, Menara UOA 
Bangsar, No. 5, Jal"
TM2025014236,5 May 2025,,,,Adult footwear; Adult pants; Adult shirts; Adult shoes; Adult shorts; Adult sweaters; Adult sweatpants; Adult tops; Ankle socks;,"Articles of clothing, footwear, headgear;","Mohana Murali A/L Kodivel, Adastra Intellectual 
Property Sdn Bhd, A-39-10, Penthouse, Menara UOA 
Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar, 59000 
Kuala Lumpur"
TM2025014375,6 May 2025,,,,,Articles of sports clothing;,
TM2025014549,7 May 2025,,,,Clothes; Pyjamas; Ready-made clothing; Swimsuits; Sportswear; Bras; Underwear; Raincoats; Shoes; Scarves; Headscarves; Neckties; Pinafores; Hats; Socks; Gloves [clothing]; Belts [clothing]; Aprons; Sleep masks; Headbands.,"BLANK SPACE MARKETING CO., LTD.  ;","Quah Su Yee, ACCOLADE IP (M) SDN BHD., 3-8, 
The Boulevard, Mid Valley City, Lingkaran Syed Putra, 59200 
Kual"
TM2025014817,8 May 2025,,,,Rain coats; Coveralls.,CHIN LAI HARDWARE SDN BHD ;,"Quah Su Yee, ACCOLADE IP (M) SDN BHD., 3-8, 
The Boulevard, Mid Valley City, Lingkaran Syed Putra, 59200 
Kuala Lumpur"
TM2025014928,9 May 2025,,,,"Shoes; Sports shoes; Sandals; Slippers; Boots; Footmuffs, not electrically heated; Heel inserts; Insoles; Non-slipping devices for footwear; Shoe inserts for non-orthopedic purposes; Shoe uppers; Socks; Soles for footwear; Welts for footwear; Clothes for sports; Polo shirts; Blouses; Jackets [clothing]; Vests; Tracksuits; Pants; Underpants; Sports pants; Neckties; Stockings;",Leggings [leg warmers];,"Quah Su Yee, ACCOLADE IP (M) SDN BHD., 3-8, 
The Boulevard, Mid Valley City, Lingkaran Syed Putra, 59200 
Kuala Lumpur"
TM2025014929,9 May 2025,,,,"Shoes; Sports shoes; Sandals; Slippers; Boots; Footmuffs, not electrically heated; Heel inserts; Insoles; Non-slipping devices for footwear; Shoe inserts for non-orthopedic purposes; Shoe uppers; Socks; Soles for footwear; Welts for footwear; Clothes for sports; Polo shirts; Blouses; Jackets [clothing]; Vests; Tracksuits; Pants; Underpants; Sports pants; Neckties; Stockings;",Leggings [leg warmers];,"Charmayne Ong Poh Yin, Skrine; Unit No. 50-8-1, 
8th Floor, Wisma UOA Damansara, 50 Jalan Dungun, 
Damansara Heights, 50490 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 97 
APIOS"
TM2025014930,9 May 2025,,,,"Shoes; Sports shoes; Sandals; Slippers; Boots; Footmuffs, not electrically heated; Heel inserts; Insoles; Non-slipping devices for footwear; Shoe inserts for non-orthopedic purposes; Shoe uppers; Socks; Soles for footwear; Welts for footwear; Clothes for sports; Polo shirts; Blouses; Jackets [clothing]; Vests; Tracksuits; Pants; Underpants; Sports pants; Neckties; Stockings;",Leggings [leg warmers];,"Charmayne Ong Poh Yin, Skrine; Unit No. 50-8-1, 
8th Floor, Wisma UOA Damansara, 50 Jalan Dungun, 
Damansara Heights, 50490 Kuala Lumpur 
AEROSLICE"
TM2025014933,9 May 2025,,,,"Shoes; Sports shoes; Sandals; Slippers; Boots; Footmuffs, not electrically heated; Heel inserts; Insoles; Non-slipping devices for footwear; Shoe inserts for non-orthopedic purposes; Shoe uppers; Socks; Soles for footwear; Welts for footwear; Clothes for sports; Polo shirts; Blouses; Jackets [clothing]; Vests; Tracksuits; Pants; Underpants; Sports pants; Neckties; Stockings;",Leggings [leg warmers];,"Charmayne Ong Poh Yin, Skrine; Unit No. 50-8-1, 
8th Floor, Wisma UOA Damansara, 50 Jalan Dungun, 
Damansara Heights, 50490 Kuala Lumpur 
HYPERBOOM"
TM2025014935,9 May 2025,,,,"Shoes; Sports shoes; Sandals; Slippers; Boots; Footmuffs, not electrically heated; Heel inserts; Insoles; Non-slipping devices for footwear; Shoe inserts for non-orthopedic purposes; Shoe uppers; Socks; Soles for footwear; Welts for footwear; Clothes for sports; Polo shirts; Blouses; Jackets [clothing]; Vests; Tracksuits; Pants; Underpants; Sports pants; Neckties; Stockings;",Leggings [leg warmers];,"Charmayne Ong Poh Yin, Skrine; Unit No. 50-8-1, 
8th Floor, Wisma UOA Damansara, 50 Jalan Dungun, 
Damansara Heights, 50490 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 98 
CLOUDSTRIKE"
TM2025014936,9 May 2025,,,,"Shoes; Sports shoes; Sandals; Slippers; Boots; Footmuffs, not electrically heated; Heel inserts; Insoles; Non-slipping devices for footwear; Shoe inserts for non-orthopedic purposes; Shoe uppers; Socks; Soles for footwear; Welts for footwear; Clothes for sports; Polo shirts; Blouses; Jackets [clothing]; Vests; Tracksuits; Pants; Underpants; Sports pants; Neckties; Stockings;",Leggings [leg warmers];,"Charmayne Ong Poh Yin, Skrine; Unit No. 50-8-1, 
8th Floor, Wisma UOA Damansara, 50 Jalan Dungun, 
Damansara Heights, 50490 Kuala Lumpur 
RALLMASTER"
TM2025014946,9 May 2025,,,,"Shoes; Sports shoes; Sandals; Slippers; Boots; Footmuffs, not electrically heated; Heel inserts; Insoles; Non-slipping devices for footwear; Shoe inserts for non-orthopedic purposes; Shoe uppers; Socks; Soles for footwear; Welts for footwear; Clothes for sports; Polo shirts; Blouses; Jackets [clothing]; Vests; Tracksuits; Pants; Underpants; Sports pants; Neckties; Stockings;",Leggings [leg warmers];,"Charmayne Ong Poh Yin, Skrine; Unit No. 50-8-1, 
8th Floor, Wisma UOA Damansara, 50 Jalan Dungun, 
Damansara Heights, 50490 Kuala Lumpur 
ALPHABLAST"
TM2025014947,9 May 2025,,,,"Shoes; Sports shoes; Sandals; Slippers; Boots; Footmuffs, not electrically heated; Heel inserts; Insoles; Non-slipping devices for footwear; Shoe inserts for non-orthopedic purposes; Shoe uppers; Socks; Soles for footwear; Welts for footwear; Clothes for sports; Polo shirts; Blouses; Jackets [clothing]; Vests; Tracksuits; Pants; Underpants; Sports pants; Neckties; Stockings;",Leggings [leg warmers];,"Charmayne Ong Poh Yin, Skrine; Unit No. 50-8-1, 
8th Floor, Wisma UOA Damansara, 50 Jalan Dungun, 
Damansara Heights, 50490 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 99 
NOVADRIVE"
TM2025014958,9 May 2025,,,,"Shoes; Sports shoes; Sandals; Slippers; Boots; Footmuffs, not electrically heated; Heel inserts; Insoles; Non-slipping devices for footwear; Shoe inserts for non-orthopedic purposes; Shoe uppers; Socks; Soles for footwear; Welts for footwear; Clothes for sports; Polo shirts; Blouses; Jackets [clothing]; Vests; Tracksuits; Pants; Underpants; Sports pants; Neckties; Stockings;",Leggings [leg warmers];,"Charmayne Ong Poh Yin, Skrine; Unit No. 50-8-1, 
8th Floor, Wisma UOA Damansara, 50 Jalan Dungun, 
Damansara Heights, 50490 Kuala Lumpur 
PROPULSE"
TM2025026866,7 August 2025,,,,Proceeding Under Subsection 17(5) of TMA 2019,"Clothing articles, footwear, headgear;","Charmayne Ong Poh Yin, Skrine; Unit No. 50-8-1, 
8th Floor, Wisma UOA Damansara, 50 Jalan Dungun, 
Damansara Heights, 50490 Kuala Lumpur"
TM2025011731,16 April 2025,,,,"Registration of this trade mark shall give no right to the exclusive use of the word ""ultra mat"", ""beyond mats"" and ""beyond service"". Car mats; Anti-slip floor mats; Automobile mats; Carpets for vehicles.",ULTRA MAT (M) SDN. BHD.;,"Vannesse Lee Pei Eng, Drexworld Management 
PLT; No.1-9-13, Block Chempaka, Taman Desaminium, 
Jalan Flora, 43300 Seri Kembangan, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 100"
TM2021000168,5 January 2021,27,,,"Sporting goods, namely, paddle boards, surf boards, stand- up paddle boards, skateboards, swim fins, fins for body boards, surf fins, scuba fins, body boards, restraint straps for body boards, surfboard leashes, bags especially designed for surfboards, bags for skateboards.",BODY GLOVE IP HOLDINGS LP ;,"Indran A/L Shanmuganathan, Shearn Delamore & 
Co. 7th. Floor, Wisma Hamzah-Kwong Hing No. 1, Leboh 
Amp"
TM2025005450,24 February 2025,,,,Apparatus for games; Electronic toys; Toy aeroplanes;,Controllers for game consoles;,"Indran A/L Shanmuganathan, Shearn Delamore & 
Co. 7th. Floor, Wisma Hamzah-Kwong Hing No. 1, Leboh 
Ampang, 50100 Kuala Lumpur 
SIMAGIC"
TM2025009131,25 March 2025,,,,Apparatus for games; Board games; Building games; Card games;,Cases for playing cards;,"Loh Yen Pheng, Intellect Worldwide Sdn Bhd, 
IPeople House, 7A Clove Hall Road, 10050 Georgetown, 
Pulau Pinang 
JOURNEY OF DISCOVERY"
TM2025012244,18 April 2025,,,,Fishing tackle; Fishing harnesses; Fishing tackle boxes; Fishing lines; Fish hooks;,Fishing buoys for anglers;,"Tan Hing Hong, IP Gennesis Sdn Bhd;   A1-10-08, 
Arcoris Mont Kiara, 10, Jalan Kiara, Mont Kiara, 50480 Kuala 
Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 101"
TM2025012210,18 April 2025,,,,Puppets; Toys; Plush toys;,Building blocks [toys];,"Brenda Lee Wen Yi, D-25-03, Menara Suez Cap 1, 
KL Gateway, No. 2, Jalan Kerinchi, 59200 Kuala Lumpur"
TM2025012212,18 April 2025,,,,Puppets; Toys; Plush toys;,Building blocks [toys];,"Liang Pey Huey , C/O Ipon9 Sdn. Bhd., 7a Clove 
Hall Road, 10050 Georgetown, Pulau Pinang"
TM2025012675,22 April 2025,,,,Pool cues; Snooker cues; Billiard cue tips; Pool cue tips; Billiard equipment.,"CARBON BILLIARDS CO., LTD. ;","Liang Pey Huey , C/O Ipon9 Sdn. Bhd., 7a Clove 
Hall Road, 10050 Georgetown, Pulau Pinang"
TM2025013407,28 April 2025,,,,"Apparatus for games; Spinning tops [toys]; Smart toys; Toys; Dolls; Action figures; Toy vehicles; Chess games; Balls for sports; Ornaments for Christmas trees, except illumination articles and confectionery;",Face masks being playthings;,"Mohana Murali A/L Kodivel, Adastra Intellectual 
Property Sdn Bhd, A-39-10, Penthouse, Menara UOA 
Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar, 59000 
Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 102"
TM2025013408,28 April 2025,,,,"Mark translation: Ling means ""dexterity"",dong means ""vivid"",chuang means ""creativity"",xiang means ""imaginative"" Mark transliteration: Ling dong chuang xiang Apparatus for games; Spinning tops [toys]; Smart toys; Toys; Dolls; Action figures; Toy vehicles; Chess games; Balls for sports; Ornaments for Christmas trees, except illumination articles and confectionery;",Face masks being playthings;,"Quality Oracle Sdn. Bhd., L5-07, Level 5, Wisma 
BU8, No. 11, Lebuh Bandar Utama,  Bandar Utama, 47800 
Petaling Jaya, Selangor"
TM2025014204,2 May 2025,,,,Toys*; Toy figures; Dolls; Dolls' houses; Dolls' beds; Plush toys; Stuffed toys; Trading card games; Novelty toys for parties; Toy vehicles; Chessboards; Balls for playing boules games;,Swimming pools [play articles];,"Quality Oracle Sdn. Bhd., L5-07, Level 5, Wisma 
BU8, No. 11, Lebuh Bandar Utama,  Bandar Utama, 47800 
Petaling Jaya, Selangor 
MayMei"
TM2025014170,2 May 2025,,,,,Artificial fishing bait;,"Vannesse Lee Pei Eng, Drexworld Management 
PLT; No.1-9-13, Block Chempaka, Taman Desaminium, 
Jalan Flora, 43300 Seri Kembangan, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 103 
ENFITGO"
TM2025014527,7 May 2025,28,,,Registration of this trade mark shall give no right to the exclusive use of the word ‘kidspeak’. Educational games*.,REBECCA CHIENG SU HEE ;,"Mohana Murali A/L Kodivel, Adastra Intellectual 
Property Sdn Bhd, A-39-10, Penthouse, Menara UOA 
Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar, 59000 
Kuala Lumpur"
TM2025026758,7 August 2025,,,,Proceeding Under Subsection 17(5) of TMA 2019,Artificial bait for fishing;,"Mohana Murali A/L Kodivel, Adastra Intellectual 
Property Sdn Bhd, A-39-10, Penthouse, Menara UOA 
Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar, 59000 
Kuala Lumpur"
TM2020001474,22 January 2020,,,,"The trade mark is limited to the colours as shown in the representation on the form of application. Mark translation: A great day Mark transliteration: De yi de yi tian CLASS 29 Edible oils; Soya milk; Red bean soup; Soups; Broth; Fish soup; Meat, tinned; Seafood;","Vegetables, preserved;",
TM2021028780,14 October 2021,30,,,Edible oils and fats.,INTERNATIONAL FOODSTUFFS CO LLC. ;,"Tan Sin Su, Quality Oracle Sdn. Bhd.; Unit 23.3, 
23rd Floor, Surian Tower, No. 1 Jalan PJU 7/3, Mutiara 
Damansara, 47810 Petaling Jaya, Selangor"
TM2025010375,3 April 2025,29,,,"Fish, not live;",Fish-based foodstuffs;,"Mohana Murali A/L Kodivel, Adastra Intellectual 
Property Sdn Bhd, A-39-10, Penthouse, Menara UOA 
Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar, 59000 
Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 105"
TM2025010398,4 April 2025,,,,Meat; Broth concentrates;,Seaweed extracts for food;,"Mohana Murali A/L Kodivel, Adastra Intellectual 
Property Sdn Bhd, A-39-10, Penthouse, Menara UOA 
Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar 59000 
Kuala Lumpur 
Sparkora BBQ"
TM2025012298,18 April 2025,,,,Butter; Cheese; Milk; Yogurt; Milk products; Powdered milk;,Cream [dairy products];,"Quality Oracle Sdn. Bhd., c/o Quality Oracle Sdn. 
Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan PJU 
7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor"
TM2025012446,21 April 2025,,,,The trademark is limited to the colours as shown in the representation on the form of application. Mark translation: The combination of the chinese characters appearing in the mark has no meaning. Mark translitertion: Jin ru yi,"Canned meat, fish, vegetables and fruits;","Quality Oracle Sdn. Bhd., L5-07, Level 5, Wisma 
BU8, No. 11, Lebuh Bandar Utama,  Bandar Utama, 47800 
Petaling Jaya, Selangor 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 106"
TM2025013206,25 April 2025,,,,,,"Md. Noor Bin Rahmat, Minor IP Management And 
Consultancy; 7C-3, 7th Floor, Wisma Pahlawan, Jalan Sultan 
Sulaiman, 50000 Kuala Lumpur"
TM2025013235,25 April 2025,,,,,,"Md. Noor Bin Rahmat, Minor IP Management And 
Consultancy; 7C-3, 7th Floor, Wisma Pahlawan, Jalan Sultan 
Sulaiman, 50000 Kuala Lumpur"
TM2025013240,25 April 2025,,,,,,
TM2025014192,2 May 2025,29,,,"CLASS 29 Almond milk; Broth; Cheese; Curd; Edible fats; Fish, not live; Flavoured nuts; Fruit, preserved; Fruit, processed;",Fruit-based concentrate for cooking;,
TM2025014193,2 May 2025,,,,"CLASS 29 Almond milk; Broth; Cheese; Curd; Edible fats; Fish, not live; Flavoured nuts; Fruit, preserved; Fruit, processed;",Fruit-based concentrate for cooking;,"Teh Voon How, Gordian Consultancy Sdn. Bhd. B01-A-09,  Menara 2, KL Eco City, No 3, 
Jalan Bangsar, 59200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 108"
TM2025014808,8 May 2025,,,,"Dates, dried;",Dried fruit and vegetables;,"Teh Voon How, Gordian Consultancy Sdn. Bhd. B01-A-09,  Menara 2, KL Eco City, No 3, 
Jalan Bangsar, 59200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 109"
TM2025015056,9 May 2025,,,,,"Meat, fish, seafood (not live), poultry and game;","Ahmad Azizi Bin Zulkefli, Blue Rich Consultancy, 
No. 11, Jalan Selasih 3, Saujana Utama 3, 47000 Sungai 
Buloh, Selangor 
Lee Kum Kee Heritage"
TM2025015058,9 May 2025,,,,,"Meat, fish, seafood (not live), poultry and game;","Lee Lin Li, Tay & Partners 6th Floor, Plaza See Hoy 
Chan, Jalan Raja Chulan, 50200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 110 
Lee Kum Kee Classic"
TM2025015376,14 May 2025,,,,,,"Lee Lin Li, Tay & Partners 6th Floor, Plaza See Hoy 
Chan, Jalan Raja Chulan, 50200 Kuala Lumpur"
TM2020004990,11 March 2020,,,,Advertisement of a series of two trade marks The first trade mark in the series is limited to the colours as shown in the representation on the form of application. Candies; Candies [sweets];,Non-medicated sugar candies;,"Yip Jiun Hann, TRADEMARK2U Sdn Bhd No. 1, 
Block C, Jalan Dataran SD 1 Dataran SD PJU 9, Bandar Sri 
Damansara, 52200 Kuala Lumpur 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 111"
TM2020022571,1 October 2020,,,,Artificial coffee; Coffee; Coffee beverages; Ground coffee; Instant coffee;,Prepared cocoa-based beverages;,"Foo Kit Sin, DLAWIP Associate Plt. 61, Jalan Lim 
Bo Seng, 30300 Ipoh, Perak"
TM2024039868,17 December 2024,30,,,Rice; Pasta;,Pasta-based prepared meals;,"Chung Chee Yien, NBS Intellectual Sdn. Bhd. I-3-
3, Block I, Setiawalk, Persiaran Wawasan Pusat Bandar 
Puchong, 47160 Puchong, Selangor"
TM2025007843,13 March 2025,,,,Tea; Tea dust; Tea based beverages; Tea products;,Beverages made from tea;,"Loh Yen Pheng, Intellect Worldwide Sdn Bhd, 
IPeople House, 7A Clove Hall Road, 10050 Georgetown, 
Pulau Pinang 
INTELLECTUAL PROPERTY OFFICIAL JOURNAL 
BATCH   38/2025 
TRADEMARK 
Sept. 25, 2025 
Page 112"
TM2025010342,3 April 2025,30,,,Coffee; Herbal teas*; Sweets; Candies; Bread*; Biscuits; Cookies; Freeze-dried dishes with the main ingredient being rice; Cereal preparations; Noodles;,Cereal-based snack food;,"Indran A/L Shanmuganathan, Shearn Delamore & 
Co. 7th. Floor, Wisma Hamzah-Kwong Hing No. 1, Leboh 
Ampang, 50100 Kuala Lumpur 
CarbLite"
TM2025010400,4 April 2025,30,,,,Cereal-based snack food;,"Brenda Lee Wen Yi, D-25-03, Menara Suez Cap 1, 
KL Gateway, No. 2, Jalan Kerinchi, 59200 Kuala Lumpur 
Sparkora BBQ"
TM2025010664,8 April 2025,,,,,,"Quality Oracle Sdn. Bhd., c/o Quality Oracle Sdn. 
Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan PJU 
7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor"
TM2025012449,21 April 2025,30,,,The trademark is limited to the colours as shown in the representation on the form of application. Mark translation: The combination of the chinese characters appearing in the mark has no meaning. Mark trasliteration; Jin ru yi Chocolate;,"Coffee, tea, cocoa and coffee substitutes;",
TM2025013209,25 April 2025,,,,"Ice cream; Ice cream bars; Ice cream, sorbets and other edible ices; Non-dairy ice cream. AHMAD MUSLIM BIN HUSSIN TRADING AS MUSLIM JUSPIO ENTERPRISE ; C138 Lorong Inai 10, Taman Perumahan Gong Badak 3, 21300 Kuala Nerus, Terengganu, MALAYSIA CLASS : 30 TM2025013211 25 April 2025",Lollipops [confectionery];,"s for cooking foodstuffs; Vinegar, 
sauces and other condiments; Wheat flour; Yeast, baking-
powder; Fruit flavorings for food or beverages, except 
essences; Mayonnaise. 
NG CHEE LEE (PTE) LTD. ; 6001, Beach Road, #09-11, 
Golden Mile Tower, SINGAPORE 199589 
AGENT : Md. Noor Bin Rahmat, Minor IP Management And 
Consultancy; 7C-3, 7th Floor, Wisma Pahlawan, Jalan Sultan 
Sulaiman, 50000 Kuala Lumpur"
TM2025013211,25 April 2025,30,,,"Ice cream; Ice cream bars; Ice cream, sorbets and other edible ices; Non-dairy ice cream. AHMAD MUSLIM BIN HUSSIN TRADING AS MUSLIM JUSPIO ENTERPRISE ; C138 Lorong Inai 10, Taman Perumahan Gong Badak 3, 21300 Kuala Nerus, Terengganu, MALAYSIA CLASS : 30 TM2025013211 25 April 2025",Lollipops [confectionery];,"Md. Noor Bin Rahmat, Minor IP Management And 
Consultancy; 7C-3, 7th Floor, Wisma Pahlawan, Jalan Sultan 
Sulaiman, 50000 Kuala Lumpur"
TM2025013212,25 April 2025,30,,,"Lollipops [confectionery]; Bitter chocolate; Black chocolate; Chocolate bars; Chocolate products. JAWA PARIZA BINTI WAHAB TRADING AS ZTY CHOCOLATE ; Lot 4927 Kg Atas Tol, 21070 Kuala Terengganu, Terengganu, MALAYSIA INTELLECTUAL PROPERTY OFFICIAL JOURNAL BATCH 38/2025 TRADEMARK Sept. 25, 2025 Page 114 CLASS : 30 TM2025013212 25 April 2025 Fresh pizzas; Frozen pizza. NURUL FARHANA BINTI HUSIN TRADING AS NURUL FARHANA BINTI HUSIN; Pusat Aperantis Pertanian Sg Tong, 21500 Setiu, Terengganu, MALAYSI",Preserved garden herbs;,
