Class Index,Serial Number,Application Date,International Priority Date,By Consent Trademark Numbers,Description,Company Name,Agent Details
1,TM2025010332,3 April 2025,,,"Preparations of microorganisms, other than for medical and veterinary use; Cultures of microorganisms, other than for medical and veterinary use; Bacterial preparations, other than for medical and veterinary use; Bacterial cultures for addition to food products; Lactobacillus for use in the manufacture of food; Plant extracts, other than essential oils, for the food industry; Proteins for the food industry; Proteins for use in the manufacture of food supplements; Vitamins for use in the manufacture of food supplements; Bacterial preparations for the food industry; Enzyme preparations for the food industry; Milk ferments for the food industry; Bacteria for use in food manufacture. Cultures of microorganisms for medical or veterinary use; Bouillons for bacteriological cultures for medical purposes or veterinary purposes; Dietetic substances adapted for medical use; Food for babies; Powdered milk for babies; Vitamin preparations; Veterinary preparations; Nutritional supplements; Dietary food supplements; Dietary food supplements used to enhance the production of probiotic bacteria in living beings; Probiotic preparations for medical use; Preparations of microorganisms for medical or veterinary use; Mineral dietary supplements; Nutritive substances for microorganisms; Preparations of trace elements for human and animal use; Bacteria and preparations of bacteria as well as biological and biochemical preparations for the treatment of intestinal disturbances and for the prevention and treatment of food allergies and enhancement of the immune system for medical use and healthcare; Cultures of microorganisms for use in dietary supplements. SHENZHEN MEILI NUTRITION TECHNOLOGY CO., LTD. ; 1010, Bldg8, Qianhai Excellence Fin Ctr, 5033 Menghai Avenue, Nanshan Street, Shenzhen, Guangdong, CHINA Kerinchi, Bangsar South, 59200 Kuala Lumpur",Dietetic foods adapted for medical purposes; Dietetic beverages adapted for medical purposes;,"Phoon Chiy Hin , c/o CH Phoon & Associates, A-3-10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur"
1,TM2025010330,3 April 2025,,,"Preparations of microorganisms, other than for medical and veterinary use; Cultures of microorganisms, other than for medical and veterinary use; Bacterial preparations, other than for medical and veterinary use; Bacterial cultures for addition to food products; Lactobacillus for use in the manufacture of food; Plant extracts, other than essential oils, for the food industry; Proteins for the food industry; Proteins for use in the manufacture of food supplements; Vitamins for use in the manufacture of food supplements; Bacterial preparations for the food industry; Enzyme preparations for the food industry; Milk ferments for the food industry; Bacteria for use in food manufacture. Dietetic foods adapted for medical purposes; Dietetic beverages adapted for medical purposes; Cultures of microorganisms for medical or veterinary use; Bouillons for bacteriological cultures for medical purposes or veterinary purposes; Dietetic substances adapted for medical use; Food for babies; Powdered milk for babies; Vitamin preparations; Veterinary preparations; Nutritional supplements; Dietary food supplements; Dietary food supplements used to enhance the production of probiotic bacteria in living beings; Probiotic preparations for medical use; Preparations of microorganisms for medical or veterinary use; Mineral dietary supplements; Nutritive substances for microorganisms; Preparations of trace elements for human and animal use; Bacteria and preparations of bacteria as well as biological and biochemical preparations for the treatment of intestinal",,
1,TM2025010333,3 April 2025,,,"Preparations of microorganisms, other than for medical and veterinary use; Cultures of microorganisms, other than for medical and veterinary use; Bacterial preparations, other than for medical and veterinary use; Bacterial cultures for addition to food products; Lactobacillus for use in the manufacture of food; Plant extracts, other than essential oils, for the food industry; Proteins for the food industry; Proteins for use in the manufacture of food supplements; Vitamins for use in the manufacture of food supplements; Bacterial preparations for the food industry; Enzyme preparations for the food industry; Milk ferments for the food industry; Bacteria for use in food manufacture. Dietetic foods adapted for medical purposes; Dietetic beverages adapted for medical purposes; Cultures of microorganisms for medical or veterinary use; Bouillons for bacteriological cultures for medical purposes or veterinary purposes; Dietetic substances adapted for medical use; Food for babies; Powdered milk for babies; Vitamin preparations; Veterinary preparations; Nutritional supplements; Dietary food supplements; Dietary food supplements used to enhance the production of probiotic bacteria in living beings; Probiotic preparations for medical use; Preparations of microorganisms for medical or veterinary use; Mineral dietary supplements; Nutritive substances for microorganisms; Preparations of trace elements for human and animal use; Bacteria and preparations of bacteria as well as biological and biochemical preparations for the treatment of intestinal disturbances and for the prevention and treatment of food allergies and enhancement of the immune system for medical use and healthcare; Cultures of microorganisms for use in dietary supplements. 1010, Bldg8, Qianhai Excellence Fin Ctr, 5033 Menghai Avenue, Nanshan Street, Shenzhen, Guangdong, CHINA 10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur","SHENZHEN MEILI NUTRITION TECHNOLOGY CO., LTD. ;","Phoon Chiy Hin , c/o CH Phoon & Associates, A-3- 10, Vertical Business Suites, No. 8, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur"
,TM2025012263,18 April 2025,,,"Carbohydrates used as an ingredient in the manufacture of nutraceuticals; Enzymes for use in the manufacture of nutraceuticals; Chemical additives for use in the manufacture of pharmaceuticals; Yeast nutrients for industrial purposes; Chemical additives for use in the preparation of animal foodstuffs; Vitamins for the food industry; Proteins for the food industry; Amino acids for industrial purposes; Glucose for the food industry; Enzymes for the food industry; Artificial sweeteners [chemical preparations]; Chemical additives for food; Flour for industrial purposes; Bacterial preparations for the food industry; Probiotic bacteria for the food industry; Probiotic bacterial cultures for the food industry. CJ CHEILJEDANG CORPORATION ; CJ Cheiljedang Center, 330, Dongho-ro, Jung-gu, Seoul, REPUBLIC OF KOREA IPeople House, 7A Clove Hall Road, 10050 Georgetown, Pulau Pinang",,"Loh Yen Pheng, Intellect Worldwide Sdn Bhd, IPeople House, 7A Clove Hall Road, 10050 Georgetown,"
,TM2025012261,18 April 2025,,,"Carbohydrates used as an ingredient in the manufacture of nutraceuticals; Enzymes for use in the manufacture of nutraceuticals; Chemical additives for use in the manufacture of pharmaceuticals; Yeast nutrients for industrial purposes; Chemical additives for use in the preparation of animal foodstuffs; Vitamins for the food industry; Proteins for the food industry; Amino acids for industrial purposes; Glucose for the food industry; Enzymes for the food industry; Artificial sweeteners [chemical preparations]; Chemical additives for food; Flour for industrial purposes; Bacterial preparations for the food industry; Probiotic bacteria for the food industry; Probiotic bacterial cultures for the food industry. CJ CHEILJEDANG CORPORATION ; CJ Cheiljedang Center, 330, Dongho-ro, Jung-gu, Seoul, REPUBLIC OF KOREA IPeople House, 7A Clove Hall Road, 10050 Georgetown, Pulau Pinang",,"Loh Yen Pheng, Intellect Worldwide Sdn Bhd, IPeople House, 7A Clove Hall Road, 10050 Georgetown,"
,TM2020003457,21 February 2020,,,"The trade mark is limited to the colours as shown in the representation on the form of application. Shampoos; Gels, sprays, mousses and balms for hair styling and hair care; Perfumery; Essential oils. KHOH SAW YOONG ; No 33, Jalan SS26/9, Taman Mayang Jaya, 47301 Petaling Jaya, Selangor, MALAYSIA",,
,TM2021007620,17 March 2021,,,"Sun protection preparations. KENVUE INC. ; 1 Kenvue Way, Summit, 07901 New Jersey, UNITED STATES OF AMERICA 1, Leboh Ampang, 50100 Kuala Lumpur ULTRA EM",,"Toh Yoong San Janet, Shearn Delamore & Co. 7th Floor, Wisma Hamzah-Kwong Hing No. 1, Leboh Ampang, 50100 Kuala Lumpur"
,TM2023011889,27 April 2023,,,"Cosmetic slimming preparations; bath and shower preparations; body and beauty care preparations; cosmetic creams for firming the skin; cosmetic creams and lotions for face and body care; cosmetic preparations for slimming purposes; creams for cellulite reduction; lotions, creams and preparations for care of the face, body, scalp, nails and hair; cosmetic creams for toning the skin; lotions for cosmetic purposes; cosmetic preparations for skin care and skin treatment; cleaning preparations for use on the body; non- medicated creams for hydrating the skin; non-medicated creams for moisturising the skin; non-medicated creams for protection of the skin; non-medicated creams for soothing the skin. SLIM DOC SDN. BHD. ; 3A, Jalan Lazat 1, Taman Bukit Indah, 58200 Kuala Lumpur, MALAYSIA Block A-3-5 Plaza Arkadia, No. 3, Jalan Intisari Perdana, Desa Parkcity, 52200 Kuala Lumpur",,"Chua Por Yean, Ian Intellectual Property Sdn. Bhd., Block A-3-5 Plaza Arkadia, No. 3, Jalan Intisari Perdana, Desa Parkcity, 52200 Kuala Lumpur"
,TM2023012688,8 May 2023,,,"Beauty serums; Facial serums; Serums for cosmetic purposes; Cosmetic creams; Cosmetic creams and lotions; Cosmetic gels; Cosmetics; Skin care cosmetics; Skincare cosmetics. NORSYAFINI BINTI KHASIM TRADING AS AI SEYGAK EMPIRE ; No 29 Batu 12, Bukit Besar, Kota Sarang Semut, 06800 Alor Setar, Kedah, MALAYSIA 2, Jalan Dataran Jade 2/2, Dataran Jade 2, Jade Hills, 43000 Kajang, Selangor",,"Mohd. Faizal Bin Ismail, Teraju IP Sdn. Bhd., No 7- 2, Jalan Dataran Jade 2/2, Dataran Jade 2, Jade Hills, 43000"
,TM2025004936,19 February 2025,,,"Cosmetics; Perfumes; Colognes; Skin care preparations and substances[cosmetics]; Skin lotions; Non-medicated skin astringents for cosmetic purposes; Facial concentrated emulsion; After shave lotions; Skin conditioners; Skin cleansing creams; Skin moisturizing creams; Tissues impregnated with cleansing preparation; Make-up preparations; Make-up foundation in the form of powder; Concealers; Toilet water; Beauty masks; Sunblock skin creams; Body care preparations and substances; Toilet soaps; Bath soaps; Body cleansers; Body mist; Body gel; Bath gel; Body cream scrub; Hair care preparations and substances; Hair shampoo; Hair rinses; Hair spray; Hair mousse; Hair gel; Hair dyes; Hair conditioner; Hair treatment; Hair serum; Nail care preparations and substances; Blusher; Lipsticks; Lip glosses; Lip balms; Mascara; Eye shadows; Eyebrow pencils; Eye liners; Toothpastes; Dentifrices; Fabric softeners for laundry use; Laundry preparations; Air fragrancing preparations; Cleaning preparations for household purposes. LG H&H CO., LTD. ; 58, Saemunan-ro, Jongno-gu, Seoul, REPUBLIC OF KOREA Leboh Ampang, 50100 Kuala Lumpur",,"Jyeshta Mahendran, Shearn Delamore & Co. 7th Floor, Wisma Hamzah-Kwong Hing No. 1, Leboh Ampang, 50100 Kuala Lumpur"
,TM2025007421,11 March 2025,,,"Body and beauty care preparations for cosmetic purposes; Eau de parfum; Eau de toilette; Essential oils; Room perfume sprays; Scented linen sprays; Body and beauty care preparations for cosmetic use; Non-medicated cosmetics and toiletry preparations; Aromatic essential oils; Bath and shower preparations; Colognes, perfumes and cosmetics; Non-medicated soaps; Aromatics [essential oils]; Cosmetic preparations for baths; Cosmetic kits comprising primarily mascara, lipsticks, eyebrow Cosmetics; Cosmetics and make-up; Cosmetics and personal care preparations; Skincare cosmetic preparations; Skincare cosmetic products; Skincare preparations [cosmetics]; Skin care preparations; Skin care products; Beauty care cosmetics; Beauty care preparations; Dental care preparations; Deodorants for body care; Facial care preparations; Hair care preparations and products; Mouth care preparations, non-medicated; Nail care preparations and products; Oral care preparations, non- medicated; Sun care preparations; Feminine deodorant sprays; Feminine hygiene cleansing towelettes. METAHEALTH BIOTECH GROUP SDN. BHD. ; A--05--09, Residensi Sunway Geo Lake, Persiaran Tasik Timur Sunway South Quay, Bandar Sunway, 47500 Subang Jaya, Selangor, MALAYSIA","pencils, make-up, foundation and lip glosses; Cosmetic preparations; Cosmetic products for skincare;","YONG BO YEE, BO1-A-9-05, Menara 2, KL Eco City, 3, Jln Bangsar, 59200 Kuala Lumpur"
,TM2025009182,25 March 2025,,,"Toiletry preparations; Facial cleansing milk; Cosmetics; Cosmetic preparations for skin care; Preparations for cleaning teeth; Make-up setting sprays; Foundation; Make-up powder; Face powder; Sunscreen creams; Sunscreen; Rouge; Facial concealer; Make up remover; Oils for toilet purposes; Make-up base; Cosmetic pencils; Anti-perspirants. Room 908, Building 5, No. 188 Lianchuang Street, Wuchang Street, Yuhang District, Hangzhou City, Zhejiang Province, CHINA Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan PJU 7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor","HANGZHOU XINCHI TECHNOLOGY GROUP CO., LTD. ;","Quality Oracle Sdn. Bhd., c/o Quality Oracle Sdn. Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan PJU 7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor"
,TM2025009186,25 March 2025,,,"No colour claims Non-medicated toothpastes. GODAKANDA HERBALS (PVT) LIMITED ; No. 102, Kandy Road, Wewaldeniya, SRI LANKA Level 26, Menara Hong Leong, No. 6, Jalan Damanlela, Bukit Damansara, 50490 Kuala Lumpur",,"Yvonne Ong Toon Mein, c/o Raja, Darryl & Loh, Level 26, Menara Hong Leong, No. 6, Jalan Damanlela, Bukit Damansara, 50490 Kuala Lumpur"
,TM2025009187,25 March 2025,,,"Dentifrice; Non-medicated mouth washes; Tooth powders; Dental bleaching gels; Teeth whitening preparations; Tooth cleaning preparations; Cosmetic preparations for the care of mouth and teeth; Tooth whitening pastes; Breath freshening sprays; Breath freshening strips. TOPPII INTERNATIONAL TRADE CO., LIMITED ; Unit D3, 11/F, Luk Hop Industrial Building, No.8 Luk Hop Street, San Po Kong, Kowloon, HK, 999077, CHINA Taman Pandan Indah, 55100 Kuala Lumpur",,"Liew Wai Kit, 27B, Jalan Pandan Indah 4/15, Taman Pandan Indah, 55100 Kuala Lumpur"
,TM2025009188,25 March 2025,,,"Hair and body shampoos; Hair conditioners; Body cream; Cosmetics; Make-up removing milks; Eye make-up removers; Depilatory creams; Skin creams; Facial creams; Facial cleansing milk; Facial masks; Fragrances; Deodorants and antiperspirants; Body lotion; Lipsticks. TOPPII INTERNATIONAL TRADE CO., LIMITED ; Unit D3, 11/F, Luk Hop Industrial Building, No.8 Luk Hop Street, San Po Kong, Kowloon, HK, 999077, CHINA Taman Pandan Indah, 55100 Kuala Lumpur",,"Liew Wai Kit, 27B, Jalan Pandan Indah 4/15, Taman Pandan Indah, 55100 Kuala Lumpur"
3,TM2025010359,3 April 2025,,,"Face cleansers; Hair and body wash; Body mists being non- medicated skin care preparations; Non-medicated skin care preparations; Anti-aging cosmetic preparations; Skin whitening preparations; Intensive hydrating oils; Non- medicated creams for hydrating the skin; Moisturizing creams, lotions and gels; Facial serums; Face and body lotions for cosmetic purposes; Essential oils for cosmetic purposes; Non-medicated skin toners; Skin toners for cosmetic use; Exfoliating scrubs for cosmetic purposes. Protein powder dietary supplements; Herbal dietary supplements; Nutritional supplements; Slimming tea for medical purposes; Herbal beverages for medicinal purposes. LEAFEORA SDN BHD; No. 9, Jalan Pusat Perdagangan Tropika 1, Pusat Perdagangan Tropika, 71700 Mantin, Negeri Sembilan, MALAYSIA KomarMax",,
,TM2025010328,3 April 2025,,,"Beauty masks; Cosmetic creams; Cosmetics; Bath preparations, not for medical purposes; Cosmetic preparations for eyelashes; Cosmetic preparations for skin care; Eyebrow cosmetics; Hair conditioners; Hair lotions; Lip glosses; Lipsticks; Lotions for cosmetic purposes; Make-up; Make-up powder; Make-up preparations; Make-up removing preparations; Oils for cosmetic purposes; Perfumes; Skin whitening creams; Sunscreen preparations. GUIXIAN WANG ; No. 22, Group 2, Jinshitou Village, Yilu Town, Yilong County, Sichuan Province CHINA 637600, CHINA Property Sdn Bhd, A-39-10, Penthouse, Menara UOA Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar, 59000 Kuala Lumpur TEEVEEYA",,"Mohana Murali A/L Kodivel, Adastra Intellectual Property Sdn Bhd, A-39-10, Penthouse, Menara UOA Bangsar, No. 5, Jalan Bangsar Utama 1, Bangsar, 59000"
,TM2025010360,3 April 2025,,,"Bath cream; Cosmetic facial toners; Dentifrice; Body milk; Essential oils; Eye cream; Eye gels; Eyelash tints; Face cream; Face milk and lotions; Facial lotion; Facial masks; Facial serums; Fragrances; Hair removing cream; Hair rinses; Lip creams; Liquid foundation; Sun-tanning creams; Lipstick. LI DONGRUI ; No. 69, Tangnei Group, Tangnei Village, Gaoshi Township, Yongxin County, Ji'an, Jiangxi, 343000, CHINA PLT; No.1-9-13, Block Chempaka, Taman Desaminium, Jalan Flora, 43300 Seri Kembangan, Selangor",,"Vannesse Lee Pei Eng, Drexworld Management PLT; No.1-9-13, Block Chempaka, Taman Desaminium, Jalan Flora, 43300 Seri Kembangan, Selangor"
,TM2025011773,16 April 2025,,,"The transliteration of the chinese characters of which the mark consists is ""weilan"" which has no meaning. Cosmetic body scrubs; Non-medicated skin whitening creams; Hand creams; Facial cleansing milk; Make-up removing milk; Make-up removing creams; Make-up removing gels; Cotton pads for removing make-up; Make-up removing lotions; Shower gels, creams and oils; Depilatory preparations; Body emulsions for cosmetic purposes. SUZHOU WEILAN BIOTECHNOLOGY CO., LTD. ; Room B1601, No. 388 Ruoshui Road, Suzhou Industrial Park, Suzhou Area, China (Jiangsu) Pilot Free Trade Zone, CHINA Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan PJU 7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor",,"Quality Oracle Sdn. Bhd., c/o Quality Oracle Sdn. Bhd., Unit 23.3, 23rd Floor, Surian Tower, No 1, Jalan PJU 7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor"
,TM2025012213,18 April 2025,,,"Soap; Cotton swabs for cosmetic purposes; Laundry preparations; Mouthwashes, not for medical purposes; Nail varnish; Hair conditioners; Shampoos; False eyelashes; Cosmetics; Shaving soap; Lavender water; Cleaning preparations; Bath preparations, not for medical purposes; Perfumes; Hair spray; Toothpaste; Double eyelid tapes; Stain removers; Make-up preparations; Cotton wool for cosmetic purposes. GUANGZHOU JIULI COSMETICS CO., LTD. ; Room 2507, No. 565 Yuncheng East Road, Baiyun District, Guangzhou City, 510080, CHINA Hall Road, 10050 Georgetown, Pulau Pinang",,"Liang Pey Huey , C/O Ipon9 Sdn. Bhd., 7a Clove Hall Road, 10050 Georgetown, Pulau Pinang"
,TM2025012215,18 April 2025,,,"Soap; Cotton swabs for cosmetic purposes; Laundry preparations; Mouthwashes, not for medical purposes; Nail varnish; Hair conditioners; Shampoos; False eyelashes; Cosmetics; Shaving soap; Lavender water; Cleaning preparations; Bath preparations, not for medical purposes; Perfumes; Hair spray; Toothpaste; Double eyelid tapes; Stain removers; Make-up preparations; Cotton wool for cosmetic purposes. GUANGZHOU JIULI COSMETICS CO., LTD. ; Room 2507, No. 565 Yuncheng East Road, Baiyun District, Guangzhou City, 510080, CHINA Hall Road, 10050 Georgetown, Pulau Pinang",,"Liang Pey Huey , C/O Ipon9 Sdn. Bhd., 7a Clove Hall Road, 10050 Georgetown, Pulau Pinang"
,TM2025013383,28 April 2025,,,"Lipsticks; Beauty masks; Skin whitening creams; Laundry bleach; Mouthwashes, not for medical purposes; Nail varnish; Make-up preparations; Hair dyes; Cosmetic preparations for eyelashes; Make-up removing preparations; Dentifrices*; Scented water; Depilatory preparations; Essential oils; Oils for cosmetic purposes; Neutralizers for permanent waving; Shampoos*; False nails; Cosmetic preparations for skin care; Toners for cosmetic purposes. XIE EHONG ; No. 10, South Fourth Avenue, High-tech Zone, Nanshan District, Shenzhen City, Guangdong Province, CHINA 43300 Seri Kembangan, Selangor",,"LIM YONG LIN, 22A，Jalan Damai Perdana 16/1A, 43300 Seri Kembangan, Selangor"
